road_link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,volume_at_p,resource_balance,notes
1,1,547,0600_1100,4989.130,0.863,59.999,0.101,,,1,1,547,1600_2100,5986.952,0.000,51760.199,0.121,,,period-based
2,2,548,0600_1100,6719.405,0.863,59.997,0.136,,,2,2,548,1600_2100,8063.282,0.000,51760.199,0.163,,,period-based
3,3,549,0600_1100,10095.530,0.863,59.984,0.204,,,3,3,549,1600_2100,12114.620,0.000,51760.199,0.245,,,period-based
4,4,550,0600_1100,9444.622,0.863,59.988,0.191,,,4,4,550,1600_2100,11333.544,0.000,51760.199,0.229,,,period-based
5,5,551,0600_1100,17223.783,0.865,59.868,0.348,,,5,5,551,1600_2100,20668.516,0.000,51760.199,0.418,,,period-based
6,6,552,0600_1100,6446.029,0.863,59.997,0.130,,,6,6,552,1600_2100,7735.232,0.000,51760.199,0.156,,,period-based
7,7,553,0600_1100,9884.273,0.863,59.986,0.200,,,7,7,553,1600_2100,11861.111,0.000,51760.199,0.240,,,period-based
8,8,554,0600_1100,9252.289,0.863,59.989,0.187,,,8,8,554,1600_2100,11102.710,0.000,51760.199,0.224,,,period-based
9,9,555,0600_1100,6699.448,0.863,59.997,0.135,,,9,9,555,1600_2100,8039.338,0.000,51760.199,0.162,,,period-based
10,10,556,0600_1100,13823.643,0.863,59.945,0.279,,,10,10,556,1600_2100,16588.375,0.000,51760.199,0.335,,,period-based
11,11,557,0600_1100,10551.049,0.863,59.981,0.213,,,11,11,557,1600_2100,12661.250,0.000,51760.199,0.256,,,period-based
12,12,558,0600_1100,6985.774,0.863,59.996,0.141,,,12,12,558,1600_2100,8382.917,0.000,51760.199,0.169,,,period-based
13,13,559,0600_1100,9401.475,0.863,59.988,0.190,,,13,13,559,1600_2100,11281.759,0.000,51760.199,0.228,,,period-based
14,14,560,0600_1100,14763.681,0.864,59.929,0.298,,,14,14,560,1600_2100,17716.385,0.000,51760.199,0.358,,,period-based
15,15,561,0600_1100,8934.713,0.863,59.990,0.180,,,15,15,561,1600_2100,10721.652,0.000,51760.199,0.217,,,period-based
16,16,562,0600_1100,10301.017,0.863,59.983,0.208,,,16,16,562,1600_2100,12361.229,0.000,51760.199,0.250,,,period-based
17,17,563,0600_1100,9098.548,0.863,59.990,0.184,,,17,17,563,1600_2100,10918.243,0.000,51760.199,0.221,,,period-based
18,18,564,0600_1100,9300.733,0.863,59.989,0.188,,,18,18,564,1600_2100,11160.875,0.000,51760.199,0.225,,,period-based
19,19,565,0600_1100,2624.612,0.863,60.000,0.053,,,19,19,565,1600_2100,3149.535,0.000,51760.199,0.064,,,period-based
20,20,566,0600_1100,7707.944,0.863,59.995,0.156,,,20,20,566,1600_2100,9249.524,0.000,51760.199,0.187,,,period-based
21,21,567,0600_1100,4696.173,0.863,59.999,0.095,,,21,21,567,1600_2100,5635.408,0.000,51760.199,0.114,,,period-based
